hotelcode,min,max,Diff_Min,Diff_Max,Score
344207,48.52,528.48,0.307,1.651,0.98
344604,100.01,325.61,0.288,0.662,0.47
344833,172.16,265.43,1.120,0.368,0.74
345569,76.04,76.04,0.011,0.555,0.28
345708,89.75,174.23,0.169,0.076,0.12
345716,88.7,136.21,0.157,0.262,0.21
345740,63.36,107.7,0.135,0.401,0.27
345741,79.19,95.03,0.047,0.463,0.25
345759,52.74,94.98,0.258,0.463,0.36
345789,140.65,272.43,0.756,0.403,0.58
345929,110.87,131.99,0.413,0.282,0.35
345975,57.02,163.67,0.209,0.128,0.17
346113,84.48,89.75,0.108,0.489,0.30
346898,58.07,110.87,0.197,0.386,0.29
346899,47.52,84.48,0.318,0.514,0.42
347332,148.66,148.66,0.849,0.201,0.53
348126,57.02,83.16,0.209,0.521,0.36
348535,47.52,97.15,0.318,0.453,0.39
348703,82.76,121.7,0.088,0.333,0.21
348882,87.32,122.9,0.141,0.327,0.23
349114,80.37,100.46,0.061,0.437,0.25
349269,197.37,235.27,1.411,0.222,0.82
349800,33.74,77.9,0.477,0.547,0.51
350511,60.84,96.32,0.165,0.457,0.31
350760,118.79,153.1,0.504,0.180,0.34
350853,101.65,1104.11,0.306,4.462,2.38
351052,64.19,162.75,0.126,0.132,0.13
351579,40.21,102.08,0.403,0.429,0.42
351714,35.46,71.39,0.458,0.578,0.52
352573,38.94,107.11,0.417,0.404,0.41
352690,83.35,181.69,0.095,0.040,0.07
352929,144.12,151.7,0.797,0.186,0.49
353384,50.23,66.31,0.287,0.603,0.45
353825,40.45,89.89,0.400,0.488,0.44
354733,45.21,104.98,0.345,0.415,0.38
355356,149.69,350.61,0.861,0.785,0.82
355494,39.45,102.11,0.412,0.429,0.42
355568,84.45,135.53,0.108,0.265,0.19
355644,57.02,69.69,0.209,0.587,0.40
355680,52.8,84.48,0.258,0.515,0.39
355804,61.96,142.52,0.152,0.231,0.19
355865,174.8,268.24,1.151,0.383,0.77
355871,32.12,58.3,0.496,0.643,0.57
356266,60.19,95.03,0.172,0.464,0.32
356277,28.51,126.71,0.538,0.309,0.42
356398,94.25,177.01,0.221,0.063,0.14
356869,88.04,116.6,0.149,0.358,0.25
357167,45.97,46.91,0.337,0.699,0.52
357190,78.96,107.92,0.045,0.401,0.22
357960,139.38,181.61,0.742,0.040,0.39
359587,38.18,62.28,0.426,0.624,0.53
359782,95.44,135.63,0.235,0.265,0.25
359934,45.21,75.35,0.345,0.560,0.45
359963,175.61,215,1.161,0.123,0.64
360099,79.19,121.43,0.047,0.335,0.19
360176,149.75,191.07,0.862,0.006,0.43
360351,50.23,85.39,0.287,0.511,0.40
360641,65.3,65.3,0.113,0.610,0.36
360747,82.68,284.15,0.088,0.461,0.27
360793,55.25,106.49,0.229,0.408,0.32
360811,75.35,75.35,0.003,0.560,0.28
360844,47.22,67.31,0.322,0.600,0.46
361107,62.26,70.69,0.148,0.583,0.37
361114,120.07,150.19,0.520,0.194,0.36
361117,55.25,98.45,0.229,0.448,0.34
361327,85.39,150.69,0.119,0.192,0.16
363240,59.28,89.41,0.183,0.492,0.34
363262,65.3,65.3,0.113,0.610,0.36
363282,56.26,130.6,0.218,0.290,0.25
364253,52.53,52.53,0.261,0.673,0.47
364386,75.35,257.19,0.003,0.330,0.17
364981,118.47,137.99,0.501,0.254,0.38
365601,512.37,512.37,5.048,1.579,3.31
365614,84.48,84.48,0.108,0.516,0.31
365888,97.45,316.45,0.258,0.620,0.44
366660,66.63,66.63,0.098,0.604,0.35
366737,58.43,116.84,0.192,0.358,0.28
366909,75.75,93.44,0.008,0.472,0.24
366961,59.28,81.38,0.183,0.532,0.36
367171,329.52,520.4,2.936,1.619,2.28
367192,38.53,2017.73,0.422,8.936,4.68
367525,43.4,68.81,0.366,0.592,0.48
367599,75.08,151.41,0.000,0.188,0.09
367612,962.44,1026.73,10.221,4.089,7.15
367778,52.24,64.29,0.263,0.614,0.44
367834,66.41,104.93,0.100,0.415,0.26
367888,77.36,113.53,0.026,0.373,0.20
367943,26.98,59.97,0.554,0.635,0.59
368047,50.23,90.42,0.287,0.486,0.39
368184,35.22,42.83,0.460,0.719,0.59
368186,39.18,74.34,0.414,0.565,0.49
368193,97.45,186.42,0.258,0.017,0.14
368339,49.23,86.4,0.298,0.506,0.40
368398,79.57,92.22,0.052,0.478,0.26
368415,75.39,124.96,0.003,0.318,0.16
368601,35.61,128.07,0.455,0.302,0.38
368611,19.79,41,0.638,0.728,0.68
368612,68.8,103.22,0.073,0.424,0.25
368615,25,57.21,0.578,0.649,0.61
368616,43,61.79,0.370,0.627,0.50
368631,26.33,66.86,0.563,0.602,0.58
368779,77.36,127.58,0.026,0.305,0.17
368782,40.21,87.81,0.403,0.500,0.45
368831,43.55,86.4,0.364,0.507,0.44
368989,42.7,95.44,0.374,0.463,0.42
369071,97.45,198.92,0.258,0.044,0.15
369113,78.33,124.75,0.037,0.319,0.18
369119,69.32,143.19,0.067,0.229,0.15
369182,28.77,44.27,0.535,0.713,0.62
369332,18.37,61.53,0.655,0.629,0.64
369396,73.49,102.48,0.019,0.428,0.22
369466,37.63,128.37,0.433,0.301,0.37
369502,64.04,99.23,0.128,0.444,0.29
369589,38.07,79.72,0.428,0.540,0.48
369600,70.33,194.8,0.055,0.024,0.04
369635,60.28,60.28,0.171,0.635,0.40
369664,25.12,60.28,0.577,0.635,0.61
369706,21.42,45.21,0.620,0.709,0.66
369788,42.59,83.05,0.376,0.524,0.45
369968,29.94,45.45,0.522,0.708,0.62
369978,54.25,100.46,0.241,0.439,0.34
370028,64.29,64.29,0.125,0.616,0.37
370153,47.59,90.42,0.318,0.488,0.40
370227,35.16,97.45,0.462,0.454,0.46
370357,37.77,78.36,0.432,0.547,0.49
370389,70.33,115.54,0.055,0.365,0.21
370405,40.18,80.37,0.404,0.538,0.47
370601,44.2,90.42,0.357,0.488,0.42
370687,67.76,78.19,0.085,0.548,0.32
370691,55.25,105.48,0.230,0.414,0.32
370711,76.25,225.64,0.013,0.176,0.09
370800,78.36,156.72,0.038,0.163,0.10
370855,54.25,110.51,0.241,0.390,0.32
370876,42.53,111.16,0.377,0.387,0.38
370986,49.04,90.42,0.301,0.489,0.40
371090,121,212.96,0.531,0.113,0.32
371178,37.84,87.84,0.431,0.501,0.47
371234,50.23,200.93,0.288,0.054,0.17
371269,76.04,121.66,0.011,0.335,0.17
371287,87.79,351.15,0.147,0.792,0.47
371297,91.42,101.47,0.189,0.434,0.31
371394,56.36,92.43,0.217,0.479,0.35
371401,72.3,103.28,0.032,0.426,0.23
371408,91.96,123.9,0.195,0.324,0.26
371436,90.76,118.12,0.181,0.353,0.27
371761,98.45,140.65,0.270,0.242,0.26
372416,67.13,102.24,0.092,0.431,0.26
372770,69.2,128.07,0.068,0.304,0.19
372921,89.24,175.81,0.164,0.069,0.12
372971,58.87,118.78,0.188,0.350,0.27
373043,56.8,98.12,0.212,0.451,0.33
373236,63,132.2,0.140,0.284,0.21
373245,49.06,134.27,0.301,0.273,0.29
373379,72.3,131.16,0.032,0.289,0.16
373839,104.54,116.16,0.341,0.363,0.35
374265,85.39,180.84,0.119,0.044,0.08
374806,48.52,159.33,0.308,0.150,0.23
374851,57.27,59.28,0.206,0.643,0.42
375923,122.06,251.15,0.544,0.301,0.42
376047,70.33,70.33,0.055,0.588,0.32
376828,54.85,74.36,0.234,0.568,0.40
376896,79.19,100.32,0.047,0.441,0.24
376907,66.31,66.31,0.102,0.608,0.35
376997,38.73,76.15,0.421,0.560,0.49
377040,73.5,88.72,0.019,0.498,0.26
377065,33.08,46.4,0.487,0.707,0.60
377192,69.32,149.69,0.067,0.198,0.13
377267,50.23,50.23,0.288,0.688,0.49
377350,52.24,75.35,0.265,0.564,0.41
377568,74.34,166.77,0.009,0.114,0.06
377573,70.33,85.39,0.055,0.515,0.29
377694,103.48,103.48,0.329,0.426,0.38
377702,46.22,239.1,0.335,0.242,0.29
377842,52.8,116.16,0.258,0.363,0.31
377946,35.16,45.21,0.463,0.713,0.59
377953,55.25,110.51,0.230,0.391,0.31
378418,81.7,112.48,0.076,0.381,0.23
378559,71.27,133.23,0.044,0.279,0.16
378574,54.49,104.46,0.239,0.421,0.33
378647,80.37,80.37,0.061,0.540,0.30
378651,91.96,91.96,0.195,0.483,0.34
378758,70.33,99.96,0.055,0.443,0.25
378860,64.29,85.39,0.125,0.515,0.32
379219,89.66,145.67,0.169,0.218,0.19
379298,184.78,248.14,1.271,0.287,0.78
379306,95.44,110.51,0.236,0.391,0.31
379480,94.43,332.53,0.224,0.704,0.46
379654,74.33,74.33,0.009,0.570,0.29
380081,109.47,125.11,0.398,0.319,0.36
380089,21.42,45.21,0.622,0.714,0.67
380095,78.36,98.45,0.038,0.451,0.24
380117,175.81,195.9,1.167,0.030,0.60
380323,147.83,200.62,0.842,0.053,0.45
380460,68.32,209.97,0.079,0.099,0.09
380509,53.54,135.64,0.250,0.268,0.26
380513,35.46,142.78,0.459,0.232,0.35
380801,147.83,211.19,0.842,0.105,0.47
380876,61.18,94.4,0.161,0.471,0.32
380965,40.36,83.6,0.402,0.525,0.46
381022,55.25,60.61,0.230,0.638,0.43
381435,52.24,76.35,0.265,0.561,0.41
381598,68.32,68.32,0.079,0.600,0.34
381814,42.91,66.32,0.373,0.610,0.49
381887,132.61,226.05,0.666,0.179,0.42
381973,114.71,114.71,0.459,0.371,0.42
382126,86.64,183.46,0.134,0.032,0.08
382245,26.18,45.21,0.567,0.715,0.64
382334,42.83,47.59,0.374,0.703,0.54
382373,73.91,89.75,0.014,0.495,0.25
382407,69.86,177.6,0.061,0.061,0.06
382411,60.93,106.38,0.164,0.413,0.29
382463,90.76,136.37,0.182,0.264,0.22
382469,85.53,174.23,0.121,0.077,0.10
382484,74.36,117.74,0.009,0.357,0.18
382574,26.27,66,0.566,0.612,0.59
382782,75.35,532.46,0.003,1.693,0.85
382885,91.07,182.15,0.185,0.038,0.11
382944,55.73,156.64,0.225,0.164,0.19
382963,120.55,120.55,0.527,0.343,0.43
383432,30.73,38.51,0.514,0.748,0.63
383528,52.13,105.3,0.266,0.418,0.34
383593,75.35,75.35,0.003,0.566,0.28
383927,89.41,313.45,0.166,0.611,0.39
383983,60.06,160.74,0.174,0.144,0.16
383990,43.2,100.46,0.370,0.442,0.41
384024,65.45,83.84,0.112,0.524,0.32
384235,64.29,78.36,0.125,0.552,0.34
384343,44.35,101.37,0.357,0.438,0.40
384464,35.16,60.28,0.463,0.641,0.55
384467,65.3,65.3,0.114,0.616,0.37
384472,77.36,87.4,0.026,0.507,0.27
384508,23.8,59.49,0.595,0.645,0.62
384659,55.73,136.46,0.225,0.264,0.24
385100,42.18,63.29,0.382,0.627,0.50
385136,88.61,174.05,0.157,0.078,0.12
385219,66.31,86.4,0.102,0.512,0.31
385280,71.33,263.21,0.044,0.363,0.20
385354,47.72,75.85,0.318,0.565,0.44
385482,50.23,65.3,0.289,0.617,0.45
385541,84.99,178.83,0.115,0.055,0.08
385646,106.48,159.72,0.364,0.149,0.26
385680,70.33,168.78,0.055,0.104,0.08
385809,85.39,130.6,0.119,0.294,0.21
385875,30.93,42.83,0.513,0.728,0.62
386222,61.28,95.44,0.160,0.468,0.31
386257,41.55,72.1,0.390,0.583,0.49
386504,94.94,94.94,0.230,0.470,0.35
386522,95.44,190.88,0.236,0.005,0.12
386527,32.12,52.35,0.499,0.682,0.59
386626,54.25,54.25,0.242,0.672,0.46
386649,54.25,94.43,0.242,0.473,0.36
386802,43.2,78.36,0.371,0.553,0.46
387208,40.27,49.64,0.405,0.695,0.55
387221,165.76,370.41,1.053,0.895,0.97
387309,90.42,340.57,0.178,0.747,0.46
387395,58.42,170.39,0.194,0.097,0.15
387428,59.28,59.28,0.184,0.647,0.42
387473,22.48,67.43,0.611,0.607,0.61
387531,79.81,79.81,0.055,0.546,0.30
387544,18.81,24.35,0.654,0.821,0.74
388283,85.39,125.58,0.120,0.319,0.22
388506,116.16,183.92,0.477,0.030,0.25
388561,96.02,248.94,0.243,0.293,0.27
388677,40.18,60.28,0.406,0.643,0.52
388838,52.47,124.71,0.263,0.323,0.29
388945,54.84,242.05,0.235,0.259,0.25
388982,70.33,125.58,0.055,0.319,0.19
389202,106.93,164.91,0.370,0.124,0.25
389257,170.79,276.27,1.112,0.429,0.77
389277,125.84,232.32,0.590,0.211,0.40
389529,76.43,133.23,0.015,0.281,0.15
389786,45.21,90.42,0.347,0.493,0.42
389811,66.86,109.4,0.096,0.399,0.25
389814,115.54,286.32,0.470,0.478,0.47
389868,142.55,237.58,0.784,0.237,0.51
389884,96.32,154.42,0.247,0.176,0.21
389960,106.48,217.8,0.365,0.139,0.25
390137,112.72,112.72,0.437,0.383,0.41
390216,59.1,149.09,0.186,0.202,0.19
390442,40.18,55.25,0.406,0.668,0.54
390710,61.28,66.31,0.161,0.613,0.39
390732,44.97,116.6,0.350,0.364,0.36
390772,96.05,137.22,0.243,0.261,0.25
390908,16.33,96.1,0.683,0.466,0.57
390933,14.8,14.8,0.701,0.869,0.79
391001,98.45,168.78,0.271,0.105,0.19
391014,88.21,118.54,0.152,0.354,0.25
391089,63.29,70.33,0.137,0.594,0.37
391151,42.6,198.75,0.378,0.044,0.21
391250,58.87,90.88,0.189,0.492,0.34
391418,41.45,94.18,0.391,0.475,0.43
392197,75.59,131.26,0.006,0.291,0.15
392207,623.39,623.39,6.367,2.153,4.26
392367,27.87,62.46,0.549,0.633,0.59
392395,60.28,70.33,0.172,0.594,0.38
392451,54.25,130.6,0.242,0.294,0.27
392815,75.35,101.8,0.003,0.438,0.22
393025,59.28,120.55,0.184,0.344,0.26
393031,53.24,68.71,0.254,0.602,0.43
393121,189.12,316.46,1.324,0.629,0.98
393304,152.05,152.05,0.894,0.188,0.54
394972,60.28,80.37,0.172,0.544,0.36
394974,51.23,82.38,0.277,0.534,0.41
395018,70.33,80.37,0.055,0.544,0.30
395028,89.41,119.55,0.166,0.350,0.26
395227,71.33,189.88,0.044,0.000,0.02
395728,29.9,37.11,0.525,0.760,0.64
395961,83.57,199.82,0.098,0.049,0.07
396033,60.28,60.28,0.172,0.644,0.41
396068,47.72,57.27,0.318,0.660,0.49
396183,65.3,65.3,0.114,0.620,0.37
396207,58.27,116.53,0.196,0.365,0.28
396745,55.25,82.36,0.231,0.535,0.38
397078,31.12,93.02,0.511,0.482,0.50
397082,25.64,41.25,0.575,0.740,0.66
397103,34.11,44.48,0.477,0.724,0.60
397104,23.57,37.07,0.599,0.761,0.68
397368,37,104.25,0.443,0.426,0.43
397687,75.35,95.44,0.003,0.470,0.24
397926,77.46,284.02,0.027,0.469,0.25
397975,67.13,139.43,0.093,0.251,0.17
398439,68.64,142.55,0.075,0.236,0.16
398443,73.86,100.25,0.014,0.446,0.23
398452,70.96,182.46,0.048,0.037,0.04
398455,42.23,73.91,0.382,0.578,0.48
399224,44.13,62.63,0.360,0.634,0.50
399328,76.01,147.82,0.011,0.210,0.11
400144,80.37,202.4,0.061,0.062,0.06
400606,73.18,136.21,0.022,0.267,0.14
400607,316.78,398.09,2.810,1.037,1.92
400783,99.1,369.04,0.279,0.892,0.59
400864,63.36,84.48,0.137,0.525,0.33
401196,64.62,149.94,0.122,0.199,0.16
401198,72.69,125.66,0.028,0.320,0.17
401291,115.73,224.15,0.472,0.171,0.32
401293,96.02,96.02,0.243,0.468,0.36
401767,72.33,121.56,0.032,0.340,0.19
402243,70.33,435.12,0.055,1.221,0.64
402596,73.91,73.91,0.014,0.578,0.30
402698,50.12,62.66,0.291,0.634,0.46
403816,44.2,59.28,0.359,0.651,0.51
403951,64.04,64.04,0.129,0.627,0.38
403953,84.56,123,0.110,0.333,0.22
404180,55.14,86,0.232,0.518,0.37
404215,62.28,72.33,0.149,0.586,0.37
404789,129.59,164.76,0.634,0.125,0.38
404795,82.38,109.5,0.085,0.401,0.24
404933,116.16,142.55,0.478,0.236,0.36
405003,120.38,158.39,0.527,0.157,0.34
405050,209.77,233.88,1.566,0.219,0.89
405153,68.64,147.83,0.075,0.210,0.14
405283,142.66,142.66,0.785,0.235,0.51
405338,110.51,344.59,0.412,0.771,0.59
406280,95.03,190.07,0.232,0.001,0.12
406303,26.29,32.13,0.568,0.787,0.68
406360,107.11,107.12,0.372,0.413,0.39
406582,40.18,75.35,0.406,0.571,0.49
406935,100.32,137.27,0.293,0.262,0.28
407129,76.03,158.39,0.011,0.157,0.08
407215,48.19,109.55,0.313,0.401,0.36
407285,74.97,147.83,0.002,0.210,0.11
407438,135.63,282.11,0.704,0.460,0.58
407532,218.35,246.57,1.665,0.283,0.97
407609,77.26,147.68,0.025,0.211,0.12
407873,95.44,502.32,0.236,1.558,0.90
407910,88.67,214.51,0.158,0.123,0.14
408067,71.8,134.1,0.038,0.278,0.16
408092,60.28,85.39,0.172,0.521,0.35
408293,83.41,141.5,0.097,0.241,0.17
408545,169.93,382.77,1.102,0.962,1.03
409583,88.7,361.13,0.158,0.854,0.51
410169,67.57,158.39,0.088,0.157,0.12
410179,145.06,145.2,0.813,0.223,0.52
410181,66.31,233.08,0.102,0.215,0.16
411077,129.25,492.65,0.629,1.509,1.07
411119,105.49,179.83,0.353,0.050,0.20
411906,58.08,89.16,0.198,0.502,0.35
413739,97.15,97.15,0.256,0.462,0.36
413774,95.03,116.16,0.232,0.368,0.30
413817,79.19,137.27,0.048,0.262,0.15
413857,74.97,258.71,0.002,0.343,0.17
413896,82.36,98.83,0.084,0.454,0.27
414138,87.65,114.04,0.146,0.378,0.26
414208,96.08,160.5,0.244,0.147,0.20
414239,63.36,147.83,0.136,0.210,0.17
414245,82.36,114.04,0.084,0.378,0.23
414255,84.48,153.1,0.109,0.183,0.15
414284,62.3,146.77,0.149,0.215,0.18
414316,100.32,105.59,0.293,0.421,0.36
414319,63.36,110.87,0.136,0.394,0.27
414439,28.12,65.3,0.546,0.622,0.58
414542,120.55,180.84,0.528,0.045,0.29
414544,55.7,187.87,0.226,0.010,0.12
414548,62.85,112.76,0.142,0.385,0.26
415101,47.43,309.76,0.322,0.598,0.46
416476,144.67,280.3,0.809,0.451,0.63
417232,218.93,218.93,1.671,0.145,0.91
418074,35.98,51.56,0.455,0.690,0.57
418168,18.41,41.31,0.659,0.742,0.70
420899,55.76,55.76,0.225,0.670,0.45
421349,26.18,80.91,0.569,0.544,0.56
421352,21.42,38.07,0.624,0.758,0.69
421538,46.91,104.25,0.328,0.428,0.38
421686,51.32,88.89,0.277,0.504,0.39
423823,55.25,68.32,0.231,0.607,0.42
424244,125.68,272.37,0.588,0.412,0.50
424273,61.28,61.28,0.161,0.642,0.40
424310,47.22,82.38,0.324,0.537,0.43
424360,89.41,179.83,0.166,0.050,0.11
424397,44.4,52.24,0.357,0.688,0.52
424401,47.22,55.25,0.324,0.673,0.50
424556,55.25,130.6,0.231,0.296,0.26
424748,38.18,89.41,0.430,0.502,0.47
425118,95.44,194.89,0.237,0.025,0.13
425316,19.74,98.67,0.644,0.456,0.55
426110,85.39,85.39,0.120,0.522,0.32
426146,43.2,125.58,0.371,0.322,0.35
426157,50.23,110.51,0.289,0.397,0.34
426409,44.2,129.59,0.360,0.302,0.33
426454,78.36,103.48,0.038,0.432,0.24
426465,109.5,167.78,0.400,0.111,0.26
426740,78.36,85.39,0.038,0.523,0.28
427825,45.76,45.76,0.342,0.721,0.53
429280,56.06,98.45,0.222,0.457,0.34
430443,56.47,109.05,0.217,0.404,0.31
431269,94.48,213.12,0.226,0.116,0.17
431740,39.61,110.42,0.413,0.398,0.41
431830,30.7,56.65,0.517,0.667,0.59
431851,61.96,67.13,0.153,0.614,0.38
431906,24.21,51.9,0.593,0.691,0.64
432303,239.66,239.92,1.916,0.251,1.08
432407,28.1,82.6,0.547,0.537,0.54
433709,197.8,899.32,1.428,3.549,2.49
434063,37.47,118.2,0.438,0.359,0.40
434987,47.52,95.03,0.321,0.475,0.40
435070,56.8,143.56,0.213,0.232,0.22
435112,20.39,30.7,0.637,0.797,0.72
435166,119.29,145.67,0.515,0.221,0.37
435275,63.29,135.63,0.138,0.272,0.20
435371,60.28,83.38,0.173,0.533,0.35
435382,58.77,65.3,0.190,0.624,0.41
435607,64.14,102.24,0.128,0.439,0.28
437403,91.87,147.83,0.195,0.211,0.20
439630,51.74,83.41,0.272,0.533,0.40
439637,54.74,81.59,0.237,0.542,0.39
440283,165.76,644.98,1.056,2.279,1.67
440315,89.75,110.87,0.171,0.396,0.28
440952,60.44,120.38,0.171,0.348,0.26
442211,144.97,247.86,0.814,0.290,0.55
442306,85.09,187.87,0.116,0.010,0.06
442528,79.64,275.15,0.053,0.427,0.24
442720,10104.05,12630.07,114.240,61.552,87.90
442726,59.91,164.22,0.173,0.127,0.15
442780,24.41,99.51,0.578,0.447,0.51
442859,65.09,152.05,0.114,0.187,0.15
443033,131.61,234.72,0.644,0.222,0.43
443352,67.51,95.65,0.086,0.466,0.28
443428,68.31,89.41,0.077,0.497,0.29
443565,89.66,158.02,0.166,0.158,0.16
443882,124.91,281.57,0.567,0.454,0.51
444557,47.52,68.64,0.314,0.600,0.46
444559,107.7,156.4,0.371,0.166,0.27
444576,51.87,680.96,0.265,2.430,1.35
444854,36.96,75.49,0.435,0.566,0.50
445464,67.56,128.16,0.086,0.305,0.20
445737,73.14,163.75,0.022,0.129,0.08
445738,54.9,213.29,0.230,0.116,0.17
445980,90.65,90.65,0.177,0.491,0.33
446724,87.77,210.97,0.144,0.104,0.12
448855,88.7,137.99,0.155,0.257,0.21
448876,75.35,120.55,0.003,0.343,0.17
448936,68.32,68.32,0.077,0.602,0.34
448967,25.69,35.02,0.563,0.767,0.67
448973,28.2,56.72,0.535,0.659,0.60
449052,240.98,240.98,1.891,0.253,1.07
449072,50.68,95.03,0.278,0.470,0.37
449096,89.75,195.35,0.167,0.027,0.10
449120,169.79,212.24,1.079,0.111,0.59
449128,10.16,30.95,0.740,0.787,0.76
449149,166.8,364.89,1.045,0.867,0.96
449175,135.63,426.96,0.690,1.174,0.93
449405,43.4,48.23,0.361,0.702,0.53
449428,72.33,90.42,0.032,0.493,0.26
449525,52.8,68.64,0.254,0.601,0.43
449898,51.74,142.55,0.266,0.234,0.25
450067,61.28,79.37,0.158,0.548,0.35
450168,73.91,158.39,0.014,0.156,0.08
450259,99.78,205.9,0.281,0.079,0.18
450285,45.21,65.3,0.341,0.617,0.48
450638,116.16,153.1,0.468,0.182,0.33
450678,174.23,174.23,1.130,0.078,0.60
450689,42.24,72.86,0.375,0.580,0.48
451088,58.08,167.89,0.194,0.109,0.15
451138,109.89,312.32,0.397,0.607,0.50
451156,33.26,179.51,0.477,0.051,0.26
451467,101.41,217.31,0.300,0.136,0.22
451809,78.36,78.36,0.037,0.553,0.29
451909,76.03,107.7,0.011,0.407,0.21
452089,19.22,44.2,0.637,0.722,0.68
452184,68.64,147.83,0.074,0.208,0.14
452193,93.83,130.31,0.214,0.295,0.25
452456,153.21,153.21,0.890,0.182,0.54
452556,78.14,210.12,0.035,0.100,0.07
452661,52.27,263.98,0.260,0.367,0.31
452676,34.08,38.94,0.468,0.748,0.61
452761,68.32,93.44,0.077,0.478,0.28
452798,34.16,79.08,0.467,0.550,0.51
452814,45.21,55.25,0.341,0.668,0.50
452887,56.26,150.41,0.215,0.196,0.21
453445,113.74,191.36,0.441,0.007,0.22
454186,118.54,118.54,0.495,0.354,0.42
454227,71.81,98.73,0.038,0.452,0.24
454466,96.05,272.66,0.239,0.411,0.32
454523,22.48,29.94,0.600,0.794,0.70
454578,122.49,138.33,0.541,0.256,0.40
454614,48.44,93.86,0.304,0.477,0.39
455306,52.49,55.25,0.258,0.668,0.46
455351,66.31,240.1,0.100,0.249,0.17
455360,70.33,70.33,0.054,0.593,0.32
455569,47.65,128.8,0.313,0.303,0.31
455610,71.58,251.15,0.040,0.304,0.17
455667,49.23,99.46,0.295,0.449,0.37
455831,92.92,178.45,0.203,0.057,0.13
457512,48.81,123.37,0.300,0.330,0.32
457576,50.17,68.41,0.285,0.603,0.44
457925,42.76,64.06,0.369,0.625,0.50
458247,107.7,152.05,0.372,0.188,0.28
459864,65.57,99.25,0.109,0.450,0.28
459919,46.82,79.6,0.323,0.548,0.44
459949,29.79,151.83,0.517,0.189,0.35
459993,91.92,143.56,0.192,0.230,0.21
460012,59.91,105.35,0.173,0.420,0.30
460062,84.33,175.79,0.105,0.070,0.09
460445,94.54,226.61,0.222,0.182,0.20
460586,62.79,125.58,0.141,0.320,0.23
461352,40.36,92.25,0.397,0.485,0.44
461481,103.59,189.62,0.325,0.001,0.16
461484,156.72,346.6,0.932,0.779,0.86
461626,75.6,90.42,0.006,0.494,0.25
461749,115.76,238.09,0.464,0.240,0.35
462159,82.27,158.23,0.082,0.157,0.12
462471,45.71,12556.64,0.336,60.752,30.54
462569,114.04,178.33,0.445,0.057,0.25
462763,42.76,100.32,0.369,0.440,0.40
462884,115.1,144.67,0.457,0.222,0.34
463111,136.59,202.1,0.702,0.060,0.38
463362,126.71,182.46,0.589,0.036,0.31
463459,80.25,103.48,0.059,0.425,0.24
464063,41.18,87.65,0.387,0.502,0.44
464161,90.63,176.82,0.177,0.064,0.12
464456,75.27,83.63,0.002,0.522,0.26
464842,108.83,108.83,0.385,0.398,0.39
464985,80.78,163.67,0.065,0.129,0.10
465279,84.48,174.23,0.107,0.077,0.09
465320,79.19,100.32,0.047,0.440,0.24
465846,42.23,105.59,0.375,0.414,0.39
465970,138.22,252.16,0.721,0.306,0.51
466492,122.96,196.4,0.546,0.032,0.29
466516,35.41,46.48,0.453,0.705,0.58
466855,58.27,66.31,0.192,0.608,0.40
467095,38.94,82.76,0.413,0.527,0.47
467236,53.24,60.48,0.250,0.637,0.44
467294,37.18,55.25,0.433,0.662,0.55
467346,38.18,38.18,0.422,0.746,0.58
467365,160.74,160.74,0.978,0.143,0.56
467475,69.3,135.79,0.066,0.266,0.17
467573,80.56,139.43,0.062,0.248,0.16
467627,30.14,75.35,0.514,0.564,0.54
467706,58.45,58.45,0.190,0.647,0.42
467767,131.1,191.28,0.640,0.007,0.32
467836,119.11,247.09,0.503,0.282,0.39
468509,62.55,93.83,0.143,0.473,0.31
468657,68.64,100.32,0.074,0.441,0.26
468797,85,479.65,0.113,1.426,0.77
469239,116.16,116.16,0.469,0.363,0.42
469250,105.59,158.39,0.348,0.155,0.25
469262,95.03,101.37,0.228,0.436,0.33
469275,82.76,131.44,0.087,0.288,0.19
469280,39.03,82.36,0.412,0.529,0.47
469289,79.19,93.98,0.047,0.472,0.26
469327,88.72,297.14,0.156,0.528,0.34
469769,29.56,85.53,0.520,0.514,0.52
469786,65.07,91.92,0.115,0.482,0.30
469890,49.23,49.23,0.296,0.693,0.49
469968,38.94,87.62,0.413,0.504,0.46
470042,34.48,50.83,0.464,0.685,0.57
470162,51.99,63.54,0.264,0.623,0.44
470405,125.66,173.18,0.578,0.082,0.33
470439,80.37,110.51,0.060,0.391,0.23
470465,78.49,231.35,0.039,0.204,0.12
470683,84.29,84.29,0.105,0.520,0.31
470743,94.43,126.59,0.221,0.312,0.27
471699,28.55,38.07,0.532,0.748,0.64
471777,18.15,36.95,0.651,0.754,0.70
471814,49.04,95.18,0.298,0.467,0.38
471916,51.64,82.63,0.268,0.529,0.40
471937,44.2,75.35,0.353,0.565,0.46
471950,38.18,48.23,0.422,0.699,0.56
471966,68.32,96.44,0.078,0.461,0.27
471970,45.21,65.3,0.342,0.615,0.48
471983,112.36,141.96,0.426,0.236,0.33
472023,38.42,65.3,0.420,0.615,0.52
472194,73.91,125.66,0.014,0.317,0.17
472212,62.3,316.78,0.146,0.626,0.39
472757,73.91,103.48,0.014,0.426,0.22
473489,60.28,80.37,0.170,0.541,0.36
473545,80.37,113.2,0.060,0.378,0.22
473861,44,78.24,0.356,0.551,0.45
